id,latitude,longitude,date_M_D_YYYY,date_M_D_YYYY_00_00_00,date_YYYY-MM-DD,date_YYYY-MM-DD_00_00_00,date_YYYY-MM-DDT00_00_00,date_YYYY-MM-DDT00_00_00Z,date_YYYY-MM-DDT00_00_00_America_LosAngeles,date_YYYY-MM-DDT00_00_00_America_NewYork,str_yyyy,str_yyyy-MM,str_yyyy-MM-dd,str1_yyyy-MM-dd_HH-mm-ss,int_yyyy,int_yyyyMM,int_yyyyMMdd,dbl1_yyyyMMddHHmmss,dbl2_yyyyMMddHHmmss,dbl_yyyyMMddHHmmssS,day,month,month_str_1,year,weekday,weekday_str,week_number,day365,isfeb29,DST,DST_switch,DST_adjust
408,-6.125,7.25,2/12/2023,2/12/2023 00:00:00,2023-02-12,2023-02-12 00:00:00,2023-02-12T00:00:00,2023-02-12T00:00:00Z,2023-02-12T00:00:00-08:00,2023-02-12T00:00:00-05:00,2023,2023-02,2023-02-12,2023-02-12 00:00:00,2023,202302,20230212,20230212000000,20230212235959,20230212235959.5,12,2,Feb,2023,1,Sunday,7,43,0,0,0,0
409,-6.25,7.375,2/13/2023,2/13/2023 00:00:00,2023-02-13,2023-02-13 00:00:00,2023-02-13T00:00:00,2023-02-13T00:00:00Z,2023-02-13T00:00:00-08:00,2023-02-13T00:00:00-05:00,2023,2023-02,2023-02-13,2023-02-13 00:00:00,2023,202302,20230213,20230213000000,20230213235959,20230213235959.5,13,2,Feb,2023,2,Monday,7,44,0,0,0,0
410,-6.375,7.5,2/14/2023,2/14/2023 00:00:00,2023-02-14,2023-02-14 00:00:00,2023-02-14T00:00:00,2023-02-14T00:00:00Z,2023-02-14T00:00:00-08:00,2023-02-14T00:00:00-05:00,2023,2023-02,2023-02-14,2023-02-14 00:00:00,2023,202302,20230214,20230214000000,20230214235959,20230214235959.5,14,2,Feb,2023,3,Tuesday,7,45,0,0,0,0
411,-6.5,7.625,2/15/2023,2/15/2023 00:00:00,2023-02-15,2023-02-15 00:00:00,2023-02-15T00:00:00,2023-02-15T00:00:00Z,2023-02-15T00:00:00-08:00,2023-02-15T00:00:00-05:00,2023,2023-02,2023-02-15,2023-02-15 00:00:00,2023,202302,20230215,20230215000000,20230215235959,20230215235959.5,15,2,Feb,2023,4,Wednesday,7,46,0,0,0,0
412,-6.625,7.75,2/16/2023,2/16/2023 00:00:00,2023-02-16,2023-02-16 00:00:00,2023-02-16T00:00:00,2023-02-16T00:00:00Z,2023-02-16T00:00:00-08:00,2023-02-16T00:00:00-05:00,2023,2023-02,2023-02-16,2023-02-16 00:00:00,2023,202302,20230216,20230216000000,20230216235959,20230216235959.5,16,2,Feb,2023,5,Thursday,7,47,0,0,0,0
413,-6.75,7.875,2/17/2023,2/17/2023 00:00:00,2023-02-17,2023-02-17 00:00:00,2023-02-17T00:00:00,2023-02-17T00:00:00Z,2023-02-17T00:00:00-08:00,2023-02-17T00:00:00-05:00,2023,2023-02,2023-02-17,2023-02-17 00:00:00,2023,202302,20230217,20230217000000,20230217235959,20230217235959.5,17,2,Feb,2023,6,Friday,7,48,0,0,0,0
414,-6.875,8,2/18/2023,2/18/2023 00:00:00,2023-02-18,2023-02-18 00:00:00,2023-02-18T00:00:00,2023-02-18T00:00:00Z,2023-02-18T00:00:00-08:00,2023-02-18T00:00:00-05:00,2023,2023-02,2023-02-18,2023-02-18 00:00:00,2023,202302,20230218,20230218000000,20230218235959,20230218235959.5,18,2,Feb,2023,7,Saturday,7,49,0,0,0,0
415,-7.125,8.125,2/19/2023,2/19/2023 00:00:00,2023-02-19,2023-02-19 00:00:00,2023-02-19T00:00:00,2023-02-19T00:00:00Z,2023-02-19T00:00:00-08:00,2023-02-19T00:00:00-05:00,2023,2023-02,2023-02-19,2023-02-19 00:00:00,2023,202302,20230219,20230219000000,20230219235959,20230219235959.5,19,2,Feb,2023,1,Sunday,8,50,0,0,0,0
416,-7.25,8.25,2/20/2023,2/20/2023 00:00:00,2023-02-20,2023-02-20 00:00:00,2023-02-20T00:00:00,2023-02-20T00:00:00Z,2023-02-20T00:00:00-08:00,2023-02-20T00:00:00-05:00,2023,2023-02,2023-02-20,2023-02-20 00:00:00,2023,202302,20230220,20230220000000,20230220235959,20230220235959.5,20,2,Feb,2023,2,Monday,8,51,0,0,0,0
417,-7.375,8.375,2/21/2023,2/21/2023 00:00:00,2023-02-21,2023-02-21 00:00:00,2023-02-21T00:00:00,2023-02-21T00:00:00Z,2023-02-21T00:00:00-08:00,2023-02-21T00:00:00-05:00,2023,2023-02,2023-02-21,2023-02-21 00:00:00,2023,202302,20230221,20230221000000,20230221235959,20230221235959.5,21,2,Feb,2023,3,Tuesday,8,52,0,0,0,0
418,-7.5,8.5,2/22/2023,2/22/2023 00:00:00,2023-02-22,2023-02-22 00:00:00,2023-02-22T00:00:00,2023-02-22T00:00:00Z,2023-02-22T00:00:00-08:00,2023-02-22T00:00:00-05:00,2023,2023-02,2023-02-22,2023-02-22 00:00:00,2023,202302,20230222,20230222000000,20230222235959,20230222235959.5,22,2,Feb,2023,4,Wednesday,8,53,0,0,0,0
419,-7.625,8.625,2/23/2023,2/23/2023 00:00:00,2023-02-23,2023-02-23 00:00:00,2023-02-23T00:00:00,2023-02-23T00:00:00Z,2023-02-23T00:00:00-08:00,2023-02-23T00:00:00-05:00,2023,2023-02,2023-02-23,2023-02-23 00:00:00,2023,202302,20230223,20230223000000,20230223235959,20230223235959.5,23,2,Feb,2023,5,Thursday,8,54,0,0,0,0
420,-7.75,8.75,2/24/2023,2/24/2023 00:00:00,2023-02-24,2023-02-24 00:00:00,2023-02-24T00:00:00,2023-02-24T00:00:00Z,2023-02-24T00:00:00-08:00,2023-02-24T00:00:00-05:00,2023,2023-02,2023-02-24,2023-02-24 00:00:00,2023,202302,20230224,20230224000000,20230224235959,20230224235959.5,24,2,Feb,2023,6,Friday,8,55,0,0,0,0
421,-7.875,8.875,2/25/2023,2/25/2023 00:00:00,2023-02-25,2023-02-25 00:00:00,2023-02-25T00:00:00,2023-02-25T00:00:00Z,2023-02-25T00:00:00-08:00,2023-02-25T00:00:00-05:00,2023,2023-02,2023-02-25,2023-02-25 00:00:00,2023,202302,20230225,20230225000000,20230225235959,20230225235959.5,25,2,Feb,2023,7,Saturday,8,56,0,0,0,0
422,-8.125,9,2/26/2023,2/26/2023 00:00:00,2023-02-26,2023-02-26 00:00:00,2023-02-26T00:00:00,2023-02-26T00:00:00Z,2023-02-26T00:00:00-08:00,2023-02-26T00:00:00-05:00,2023,2023-02,2023-02-26,2023-02-26 00:00:00,2023,202302,20230226,20230226000000,20230226235959,20230226235959.5,26,2,Feb,2023,1,Sunday,9,57,0,0,0,0
423,-8.25,9.125,2/27/2023,2/27/2023 00:00:00,2023-02-27,2023-02-27 00:00:00,2023-02-27T00:00:00,2023-02-27T00:00:00Z,2023-02-27T00:00:00-08:00,2023-02-27T00:00:00-05:00,2023,2023-02,2023-02-27,2023-02-27 00:00:00,2023,202302,20230227,20230227000000,20230227235959,20230227235959.5,27,2,Feb,2023,2,Monday,9,58,0,0,0,0
424,-8.375,9.25,2/28/2023,2/28/2023 00:00:00,2023-02-28,2023-02-28 00:00:00,2023-02-28T00:00:00,2023-02-28T00:00:00Z,2023-02-28T00:00:00-08:00,2023-02-28T00:00:00-05:00,2023,2023-02,2023-02-28,2023-02-28 00:00:00,2023,202302,20230228,20230228000000,20230228235959,20230228235959.5,28,2,Feb,2023,3,Tuesday,9,59,0,0,0,0
425,-8.5,10.375,3/1/2023,3/1/2023 00:00:00,2023-03-01,2023-03-01 00:00:00,2023-03-01T00:00:00,2023-03-01T00:00:00Z,2023-03-01T00:00:00-08:00,2023-03-01T00:00:00-05:00,2023,2023-03,2023-03-01,2023-03-01 00:00:00,2023,202303,20230301,20230301000000,20230301235959,20230301235959.5,1,3,Mar,2023,4,Wednesday,9,60,0,0,0,0
426,-8.625,10.5,3/2/2023,3/2/2023 00:00:00,2023-03-02,2023-03-02 00:00:00,2023-03-02T00:00:00,2023-03-02T00:00:00Z,2023-03-02T00:00:00-08:00,2023-03-02T00:00:00-05:00,2023,2023-03,2023-03-02,2023-03-02 00:00:00,2023,202303,20230302,20230302000000,20230302235959,20230302235959.5,2,3,Mar,2023,5,Thursday,9,61,0,0,0,0
427,-8.75,10.625,3/3/2023,3/3/2023 00:00:00,2023-03-03,2023-03-03 00:00:00,2023-03-03T00:00:00,2023-03-03T00:00:00Z,2023-03-03T00:00:00-08:00,2023-03-03T00:00:00-05:00,2023,2023-03,2023-03-03,2023-03-03 00:00:00,2023,202303,20230303,20230303000000,20230303235959,20230303235959.5,3,3,Mar,2023,6,Friday,9,62,0,0,0,0
428,-8.875,10.75,3/4/2023,3/4/2023 00:00:00,2023-03-04,2023-03-04 00:00:00,2023-03-04T00:00:00,2023-03-04T00:00:00Z,2023-03-04T00:00:00-08:00,2023-03-04T00:00:00-05:00,2023,2023-03,2023-03-04,2023-03-04 00:00:00,2023,202303,20230304,20230304000000,20230304235959,20230304235959.5,4,3,Mar,2023,7,Saturday,9,63,0,0,0,0
429,-9.125,10.875,3/5/2023,3/5/2023 00:00:00,2023-03-05,2023-03-05 00:00:00,2023-03-05T00:00:00,2023-03-05T00:00:00Z,2023-03-05T00:00:00-08:00,2023-03-05T00:00:00-05:00,2023,2023-03,2023-03-05,2023-03-05 00:00:00,2023,202303,20230305,20230305000000,20230305235959,20230305235959.5,5,3,Mar,2023,1,Sunday,10,64,0,0,0,0
430,-9.25,11,3/6/2023,3/6/2023 00:00:00,2023-03-06,2023-03-06 00:00:00,2023-03-06T00:00:00,2023-03-06T00:00:00Z,2023-03-06T00:00:00-08:00,2023-03-06T00:00:00-05:00,2023,2023-03,2023-03-06,2023-03-06 00:00:00,2023,202303,20230306,20230306000000,20230306235959,20230306235959.5,6,3,Mar,2023,2,Monday,10,65,0,0,0,0
431,-9.375,11.125,3/7/2023,3/7/2023 00:00:00,2023-03-07,2023-03-07 00:00:00,2023-03-07T00:00:00,2023-03-07T00:00:00Z,2023-03-07T00:00:00-08:00,2023-03-07T00:00:00-05:00,2023,2023-03,2023-03-07,2023-03-07 00:00:00,2023,202303,20230307,20230307000000,20230307235959,20230307235959.5,7,3,Mar,2023,3,Tuesday,10,66,0,0,0,0
432,-9.5,11.25,3/8/2023,3/8/2023 00:00:00,2023-03-08,2023-03-08 00:00:00,2023-03-08T00:00:00,2023-03-08T00:00:00Z,2023-03-08T00:00:00-08:00,2023-03-08T00:00:00-05:00,2023,2023-03,2023-03-08,2023-03-08 00:00:00,2023,202303,20230308,20230308000000,20230308235959,20230308235959.5,8,3,Mar,2023,4,Wednesday,10,67,0,0,0,0
433,-9.625,11.375,3/9/2023,3/9/2023 00:00:00,2023-03-09,2023-03-09 00:00:00,2023-03-09T00:00:00,2023-03-09T00:00:00Z,2023-03-09T00:00:00-08:00,2023-03-09T00:00:00-05:00,2023,2023-03,2023-03-09,2023-03-09 00:00:00,2023,202303,20230309,20230309000000,20230309235959,20230309235959.5,9,3,Mar,2023,5,Thursday,10,68,0,0,0,0
434,-9.75,11.5,3/10/2023,3/10/2023 00:00:00,2023-03-10,2023-03-10 00:00:00,2023-03-10T00:00:00,2023-03-10T00:00:00Z,2023-03-10T00:00:00-08:00,2023-03-10T00:00:00-05:00,2023,2023-03,2023-03-10,2023-03-10 00:00:00,2023,202303,20230310,20230310000000,20230310235959,20230310235959.5,10,3,Mar,2023,6,Friday,10,69,0,0,0,0
435,-9.875,11.625,3/11/2023,3/11/2023 00:00:00,2023-03-11,2023-03-11 00:00:00,2023-03-11T00:00:00,2023-03-11T00:00:00Z,2023-03-11T00:00:00-08:00,2023-03-11T00:00:00-05:00,2023,2023-03,2023-03-11,2023-03-11 00:00:00,2023,202303,20230311,20230311000000,20230311235959,20230311235959.5,11,3,Mar,2023,7,Saturday,10,70,0,0,0,0
436,-10.125,11.75,3/12/2023,3/12/2023 00:00:00,2023-03-12,2023-03-12 00:00:00,2023-03-12T00:00:00,2023-03-12T00:00:00Z,2023-03-12T00:00:00-07:00,2023-03-12T00:00:00-04:00,2023,2023-03,2023-03-12,2023-03-12 00:00:00,2023,202303,20230312,20230312000000,20230312235959,20230312235959.5,12,3,Mar,2023,1,Sunday,11,71,0,1,1,-1
437,-10.25,11.875,3/13/2023,3/13/2023 00:00:00,2023-03-13,2023-03-13 00:00:00,2023-03-13T00:00:00,2023-03-13T00:00:00Z,2023-03-13T00:00:00-07:00,2023-03-13T00:00:00-04:00,2023,2023-03,2023-03-13,2023-03-13 00:00:00,2023,202303,20230313,20230313000000,20230313235959,20230313235959.5,13,3,Mar,2023,2,Monday,11,72,0,1,0,0
438,-10.375,12,3/14/2023,3/14/2023 00:00:00,2023-03-14,2023-03-14 00:00:00,2023-03-14T00:00:00,2023-03-14T00:00:00Z,2023-03-14T00:00:00-07:00,2023-03-14T00:00:00-04:00,2023,2023-03,2023-03-14,2023-03-14 00:00:00,2023,202303,20230314,20230314000000,20230314235959,20230314235959.5,14,3,Mar,2023,3,Tuesday,11,73,0,1,0,0
439,-10.5,12.125,3/15/2023,3/15/2023 00:00:00,2023-03-15,2023-03-15 00:00:00,2023-03-15T00:00:00,2023-03-15T00:00:00Z,2023-03-15T00:00:00-07:00,2023-03-15T00:00:00-04:00,2023,2023-03,2023-03-15,2023-03-15 00:00:00,2023,202303,20230315,20230315000000,20230315235959,20230315235959.5,15,3,Mar,2023,4,Wednesday,11,74,0,1,0,0
440,-10.625,12.25,3/16/2023,3/16/2023 00:00:00,2023-03-16,2023-03-16 00:00:00,2023-03-16T00:00:00,2023-03-16T00:00:00Z,2023-03-16T00:00:00-07:00,2023-03-16T00:00:00-04:00,2023,2023-03,2023-03-16,2023-03-16 00:00:00,2023,202303,20230316,20230316000000,20230316235959,20230316235959.5,16,3,Mar,2023,5,Thursday,11,75,0,1,0,0
441,-10.75,12.375,3/17/2023,3/17/2023 00:00:00,2023-03-17,2023-03-17 00:00:00,2023-03-17T00:00:00,2023-03-17T00:00:00Z,2023-03-17T00:00:00-07:00,2023-03-17T00:00:00-04:00,2023,2023-03,2023-03-17,2023-03-17 00:00:00,2023,202303,20230317,20230317000000,20230317235959,20230317235959.5,17,3,Mar,2023,6,Friday,11,76,0,1,0,0
442,-10.875,12.5,3/18/2023,3/18/2023 00:00:00,2023-03-18,2023-03-18 00:00:00,2023-03-18T00:00:00,2023-03-18T00:00:00Z,2023-03-18T00:00:00-07:00,2023-03-18T00:00:00-04:00,2023,2023-03,2023-03-18,2023-03-18 00:00:00,2023,202303,20230318,20230318000000,20230318235959,20230318235959.5,18,3,Mar,2023,7,Saturday,11,77,0,1,0,0
443,-11.125,12.625,3/19/2023,3/19/2023 00:00:00,2023-03-19,2023-03-19 00:00:00,2023-03-19T00:00:00,2023-03-19T00:00:00Z,2023-03-19T00:00:00-07:00,2023-03-19T00:00:00-04:00,2023,2023-03,2023-03-19,2023-03-19 00:00:00,2023,202303,20230319,20230319000000,20230319235959,20230319235959.5,19,3,Mar,2023,1,Sunday,12,78,0,1,0,0
444,-11.25,12.75,3/20/2023,3/20/2023 00:00:00,2023-03-20,2023-03-20 00:00:00,2023-03-20T00:00:00,2023-03-20T00:00:00Z,2023-03-20T00:00:00-07:00,2023-03-20T00:00:00-04:00,2023,2023-03,2023-03-20,2023-03-20 00:00:00,2023,202303,20230320,20230320000000,20230320235959,20230320235959.5,20,3,Mar,2023,2,Monday,12,79,0,1,0,0
445,-11.375,12.875,3/21/2023,3/21/2023 00:00:00,2023-03-21,2023-03-21 00:00:00,2023-03-21T00:00:00,2023-03-21T00:00:00Z,2023-03-21T00:00:00-07:00,2023-03-21T00:00:00-04:00,2023,2023-03,2023-03-21,2023-03-21 00:00:00,2023,202303,20230321,20230321000000,20230321235959,20230321235959.5,21,3,Mar,2023,3,Tuesday,12,80,0,1,0,0
446,-11.5,13,3/22/2023,3/22/2023 00:00:00,2023-03-22,2023-03-22 00:00:00,2023-03-22T00:00:00,2023-03-22T00:00:00Z,2023-03-22T00:00:00-07:00,2023-03-22T00:00:00-04:00,2023,2023-03,2023-03-22,2023-03-22 00:00:00,2023,202303,20230322,20230322000000,20230322235959,20230322235959.5,22,3,Mar,2023,4,Wednesday,12,81,0,1,0,0
447,-11.625,13.125,3/23/2023,3/23/2023 00:00:00,2023-03-23,2023-03-23 00:00:00,2023-03-23T00:00:00,2023-03-23T00:00:00Z,2023-03-23T00:00:00-07:00,2023-03-23T00:00:00-04:00,2023,2023-03,2023-03-23,2023-03-23 00:00:00,2023,202303,20230323,20230323000000,20230323235959,20230323235959.5,23,3,Mar,2023,5,Thursday,12,82,0,1,0,0
448,-11.75,13.25,3/24/2023,3/24/2023 00:00:00,2023-03-24,2023-03-24 00:00:00,2023-03-24T00:00:00,2023-03-24T00:00:00Z,2023-03-24T00:00:00-07:00,2023-03-24T00:00:00-04:00,2023,2023-03,2023-03-24,2023-03-24 00:00:00,2023,202303,20230324,20230324000000,20230324235959,20230324235959.5,24,3,Mar,2023,6,Friday,12,83,0,1,0,0
449,-11.875,13.375,3/25/2023,3/25/2023 00:00:00,2023-03-25,2023-03-25 00:00:00,2023-03-25T00:00:00,2023-03-25T00:00:00Z,2023-03-25T00:00:00-07:00,2023-03-25T00:00:00-04:00,2023,2023-03,2023-03-25,2023-03-25 00:00:00,2023,202303,20230325,20230325000000,20230325235959,20230325235959.5,25,3,Mar,2023,7,Saturday,12,84,0,1,0,0
450,-12.125,13.5,3/26/2023,3/26/2023 00:00:00,2023-03-26,2023-03-26 00:00:00,2023-03-26T00:00:00,2023-03-26T00:00:00Z,2023-03-26T00:00:00-07:00,2023-03-26T00:00:00-04:00,2023,2023-03,2023-03-26,2023-03-26 00:00:00,2023,202303,20230326,20230326000000,20230326235959,20230326235959.5,26,3,Mar,2023,1,Sunday,13,85,0,1,0,0
451,-12.25,13.625,3/27/2023,3/27/2023 00:00:00,2023-03-27,2023-03-27 00:00:00,2023-03-27T00:00:00,2023-03-27T00:00:00Z,2023-03-27T00:00:00-07:00,2023-03-27T00:00:00-04:00,2023,2023-03,2023-03-27,2023-03-27 00:00:00,2023,202303,20230327,20230327000000,20230327235959,20230327235959.5,27,3,Mar,2023,2,Monday,13,86,0,1,0,0
452,-12.375,13.75,3/28/2023,3/28/2023 00:00:00,2023-03-28,2023-03-28 00:00:00,2023-03-28T00:00:00,2023-03-28T00:00:00Z,2023-03-28T00:00:00-07:00,2023-03-28T00:00:00-04:00,2023,2023-03,2023-03-28,2023-03-28 00:00:00,2023,202303,20230328,20230328000000,20230328235959,20230328235959.5,28,3,Mar,2023,3,Tuesday,13,87,0,1,0,0
453,-12.5,13.875,3/29/2023,3/29/2023 00:00:00,2023-03-29,2023-03-29 00:00:00,2023-03-29T00:00:00,2023-03-29T00:00:00Z,2023-03-29T00:00:00-07:00,2023-03-29T00:00:00-04:00,2023,2023-03,2023-03-29,2023-03-29 00:00:00,2023,202303,20230329,20230329000000,20230329235959,20230329235959.5,29,3,Mar,2023,4,Wednesday,13,88,0,1,0,0
454,-12.625,14,3/30/2023,3/30/2023 00:00:00,2023-03-30,2023-03-30 00:00:00,2023-03-30T00:00:00,2023-03-30T00:00:00Z,2023-03-30T00:00:00-07:00,2023-03-30T00:00:00-04:00,2023,2023-03,2023-03-30,2023-03-30 00:00:00,2023,202303,20230330,20230330000000,20230330235959,20230330235959.5,30,3,Mar,2023,5,Thursday,13,89,0,1,0,0
455,-12.75,14.125,3/31/2023,3/31/2023 00:00:00,2023-03-31,2023-03-31 00:00:00,2023-03-31T00:00:00,2023-03-31T00:00:00Z,2023-03-31T00:00:00-07:00,2023-03-31T00:00:00-04:00,2023,2023-03,2023-03-31,2023-03-31 00:00:00,2023,202303,20230331,20230331000000,20230331235959,20230331235959.5,31,3,Mar,2023,6,Friday,13,90,0,1,0,0
456,-12.875,15.25,4/1/2023,4/1/2023 00:00:00,2023-04-01,2023-04-01 00:00:00,2023-04-01T00:00:00,2023-04-01T00:00:00Z,2023-04-01T00:00:00-07:00,2023-04-01T00:00:00-04:00,2023,2023-04,2023-04-01,2023-04-01 00:00:00,2023,202304,20230401,20230401000000,20230401235959,20230401235959.5,1,4,Apr,2023,7,Saturday,13,91,0,1,0,0
457,-13.125,15.375,4/2/2023,4/2/2023 00:00:00,2023-04-02,2023-04-02 00:00:00,2023-04-02T00:00:00,2023-04-02T00:00:00Z,2023-04-02T00:00:00-07:00,2023-04-02T00:00:00-04:00,2023,2023-04,2023-04-02,2023-04-02 00:00:00,2023,202304,20230402,20230402000000,20230402235959,20230402235959.5,2,4,Apr,2023,1,Sunday,14,92,0,1,0,0
458,-13.25,15.5,4/3/2023,4/3/2023 00:00:00,2023-04-03,2023-04-03 00:00:00,2023-04-03T00:00:00,2023-04-03T00:00:00Z,2023-04-03T00:00:00-07:00,2023-04-03T00:00:00-04:00,2023,2023-04,2023-04-03,2023-04-03 00:00:00,2023,202304,20230403,20230403000000,20230403235959,20230403235959.5,3,4,Apr,2023,2,Monday,14,93,0,1,0,0
459,-13.375,15.625,4/4/2023,4/4/2023 00:00:00,2023-04-04,2023-04-04 00:00:00,2023-04-04T00:00:00,2023-04-04T00:00:00Z,2023-04-04T00:00:00-07:00,2023-04-04T00:00:00-04:00,2023,2023-04,2023-04-04,2023-04-04 00:00:00,2023,202304,20230404,20230404000000,20230404235959,20230404235959.5,4,4,Apr,2023,3,Tuesday,14,94,0,1,0,0
460,-13.5,15.75,4/5/2023,4/5/2023 00:00:00,2023-04-05,2023-04-05 00:00:00,2023-04-05T00:00:00,2023-04-05T00:00:00Z,2023-04-05T00:00:00-07:00,2023-04-05T00:00:00-04:00,2023,2023-04,2023-04-05,2023-04-05 00:00:00,2023,202304,20230405,20230405000000,20230405235959,20230405235959.5,5,4,Apr,2023,4,Wednesday,14,95,0,1,0,0
461,-13.625,15.875,4/6/2023,4/6/2023 00:00:00,2023-04-06,2023-04-06 00:00:00,2023-04-06T00:00:00,2023-04-06T00:00:00Z,2023-04-06T00:00:00-07:00,2023-04-06T00:00:00-04:00,2023,2023-04,2023-04-06,2023-04-06 00:00:00,2023,202304,20230406,20230406000000,20230406235959,20230406235959.5,6,4,Apr,2023,5,Thursday,14,96,0,1,0,0
462,-13.75,16,4/7/2023,4/7/2023 00:00:00,2023-04-07,2023-04-07 00:00:00,2023-04-07T00:00:00,2023-04-07T00:00:00Z,2023-04-07T00:00:00-07:00,2023-04-07T00:00:00-04:00,2023,2023-04,2023-04-07,2023-04-07 00:00:00,2023,202304,20230407,20230407000000,20230407235959,20230407235959.5,7,4,Apr,2023,6,Friday,14,97,0,1,0,0
463,-13.875,16.125,4/8/2023,4/8/2023 00:00:00,2023-04-08,2023-04-08 00:00:00,2023-04-08T00:00:00,2023-04-08T00:00:00Z,2023-04-08T00:00:00-07:00,2023-04-08T00:00:00-04:00,2023,2023-04,2023-04-08,2023-04-08 00:00:00,2023,202304,20230408,20230408000000,20230408235959,20230408235959.5,8,4,Apr,2023,7,Saturday,14,98,0,1,0,0
464,-14.125,16.25,4/9/2023,4/9/2023 00:00:00,2023-04-09,2023-04-09 00:00:00,2023-04-09T00:00:00,2023-04-09T00:00:00Z,2023-04-09T00:00:00-07:00,2023-04-09T00:00:00-04:00,2023,2023-04,2023-04-09,2023-04-09 00:00:00,2023,202304,20230409,20230409000000,20230409235959,20230409235959.5,9,4,Apr,2023,1,Sunday,15,99,0,1,0,0
465,-14.25,16.375,4/10/2023,4/10/2023 00:00:00,2023-04-10,2023-04-10 00:00:00,2023-04-10T00:00:00,2023-04-10T00:00:00Z,2023-04-10T00:00:00-07:00,2023-04-10T00:00:00-04:00,2023,2023-04,2023-04-10,2023-04-10 00:00:00,2023,202304,20230410,20230410000000,20230410235959,20230410235959.5,10,4,Apr,2023,2,Monday,15,100,0,1,0,0
466,-14.375,16.5,4/11/2023,4/11/2023 00:00:00,2023-04-11,2023-04-11 00:00:00,2023-04-11T00:00:00,2023-04-11T00:00:00Z,2023-04-11T00:00:00-07:00,2023-04-11T00:00:00-04:00,2023,2023-04,2023-04-11,2023-04-11 00:00:00,2023,202304,20230411,20230411000000,20230411235959,20230411235959.5,11,4,Apr,2023,3,Tuesday,15,101,0,1,0,0
467,-14.5,16.625,4/12/2023,4/12/2023 00:00:00,2023-04-12,2023-04-12 00:00:00,2023-04-12T00:00:00,2023-04-12T00:00:00Z,2023-04-12T00:00:00-07:00,2023-04-12T00:00:00-04:00,2023,2023-04,2023-04-12,2023-04-12 00:00:00,2023,202304,20230412,20230412000000,20230412235959,20230412235959.5,12,4,Apr,2023,4,Wednesday,15,102,0,1,0,0
468,-14.625,16.75,4/13/2023,4/13/2023 00:00:00,2023-04-13,2023-04-13 00:00:00,2023-04-13T00:00:00,2023-04-13T00:00:00Z,2023-04-13T00:00:00-07:00,2023-04-13T00:00:00-04:00,2023,2023-04,2023-04-13,2023-04-13 00:00:00,2023,202304,20230413,20230413000000,20230413235959,20230413235959.5,13,4,Apr,2023,5,Thursday,15,103,0,1,0,0
469,-14.75,16.875,4/14/2023,4/14/2023 00:00:00,2023-04-14,2023-04-14 00:00:00,2023-04-14T00:00:00,2023-04-14T00:00:00Z,2023-04-14T00:00:00-07:00,2023-04-14T00:00:00-04:00,2023,2023-04,2023-04-14,2023-04-14 00:00:00,2023,202304,20230414,20230414000000,20230414235959,20230414235959.5,14,4,Apr,2023,6,Friday,15,104,0,1,0,0
470,-14.875,17,4/15/2023,4/15/2023 00:00:00,2023-04-15,2023-04-15 00:00:00,2023-04-15T00:00:00,2023-04-15T00:00:00Z,2023-04-15T00:00:00-07:00,2023-04-15T00:00:00-04:00,2023,2023-04,2023-04-15,2023-04-15 00:00:00,2023,202304,20230415,20230415000000,20230415235959,20230415235959.5,15,4,Apr,2023,7,Saturday,15,105,0,1,0,0
471,-15.125,17.125,4/16/2023,4/16/2023 00:00:00,2023-04-16,2023-04-16 00:00:00,2023-04-16T00:00:00,2023-04-16T00:00:00Z,2023-04-16T00:00:00-07:00,2023-04-16T00:00:00-04:00,2023,2023-04,2023-04-16,2023-04-16 00:00:00,2023,202304,20230416,20230416000000,20230416235959,20230416235959.5,16,4,Apr,2023,1,Sunday,16,106,0,1,0,0
472,-15.25,17.25,4/17/2023,4/17/2023 00:00:00,2023-04-17,2023-04-17 00:00:00,2023-04-17T00:00:00,2023-04-17T00:00:00Z,2023-04-17T00:00:00-07:00,2023-04-17T00:00:00-04:00,2023,2023-04,2023-04-17,2023-04-17 00:00:00,2023,202304,20230417,20230417000000,20230417235959,20230417235959.5,17,4,Apr,2023,2,Monday,16,107,0,1,0,0
473,-15.375,17.375,4/18/2023,4/18/2023 00:00:00,2023-04-18,2023-04-18 00:00:00,2023-04-18T00:00:00,2023-04-18T00:00:00Z,2023-04-18T00:00:00-07:00,2023-04-18T00:00:00-04:00,2023,2023-04,2023-04-18,2023-04-18 00:00:00,2023,202304,20230418,20230418000000,20230418235959,20230418235959.5,18,4,Apr,2023,3,Tuesday,16,108,0,1,0,0
474,-15.5,17.5,4/19/2023,4/19/2023 00:00:00,2023-04-19,2023-04-19 00:00:00,2023-04-19T00:00:00,2023-04-19T00:00:00Z,2023-04-19T00:00:00-07:00,2023-04-19T00:00:00-04:00,2023,2023-04,2023-04-19,2023-04-19 00:00:00,2023,202304,20230419,20230419000000,20230419235959,20230419235959.5,19,4,Apr,2023,4,Wednesday,16,109,0,1,0,0
